"key","english","vietnamese","claude_note"
"emotions.fear-2-scared.overloadRisk","If you over-use this feeling, you may withdraw from what matters most or avoid important steps because they feel too scary.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể rút lui khỏi những điều quan trọng nhất hoặc tránh né những bước quan trọng vì chúng quá đáng sợ.",""
"emotions.fear-2-scared.overloadTip","To balance, clarify what you most want to protect and choose one action that increases safety while still honoring what you care about.","Để cân bằng, hãy làm rõ điều bạn muốn bảo vệ nhất và chọn một hành động tăng cường sự an toàn trong khi vẫn tôn vinh những gì bạn quan tâm.",""
"emotions.fear-2-scared.adaptivePurpose","Signals that something you care about feels threatened and needs protection or attention.","Báo hiệu rằng điều gì đó bạn quan tâm cảm thấy bị đe dọa và cần được bảo vệ hoặc chú ý.",""
"emotions.fear-2-scared.relatedFeelings","Frightened | Terrified | Alarmed","Kinh Hoàng | Khiếp Sợ | Giật Mình","Pipe-separated list"
"emotions.fear-2-scared.borderInfo","Scared is the active center of Fear—an immediate response to perceived danger. It sits between Nervous (milder concern) and Anxious (broader worry).","Hoảng Sợ là trung tâm năng động của Sợ Hãi—phản ứng ngay lập tức với nguy hiểm được cảm nhận. Nó nằm giữa Hồi Hộp (lo lắng nhẹ hơn) và Lo Âu (nỗi lo rộng hơn).",""
"emotions.fear-2-scared.story","The smoke alarm went off at 2 AM. Heart pounding, Kevin grabbed his phone and ran to check the kitchen. Nothing. The hallway. Nothing. Then he smelled it—smoke seeping under his apartment door from the hallway. This was real. His hands shook as he called 911, grabbed his wallet, and headed for the fire escape. Everything felt suddenly, terrifyingly immediate.","Báo động khói kêu vào lúc 2 giờ sáng. Tim đập loạn, Kevin cầm điện thoại và chạy vào bếp kiểm tra. Không có gì. Hành lang. Không có gì. Rồi anh ngửi thấy—khói lùa dưới cửa căn hộ từ hành lang. Đây là thật. Tay anh run khi gọi 911, cầm ví tiền và đi về phía cầu thang thoát hiểm. Mọi thứ đột nhiên cảm thấy ngay lập tức, thực sự đáng sợ.",""
"emotions.fear-3-anxious.name","Anxious","Lo Âu",""
"emotions.fear-3-anxious.category","Fear","Sợ Hãi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.fear-3-anxious.description","A feeling of worry, nervousness, or unease about something with an uncertain outcome. Anxiety can be a signal to prepare or take action.","Cảm giác lo lắng, bồn chồn hoặc bất an về điều gì đó có kết quả không chắc chắn. Lo âu có thể là tín hiệu để chuẩn bị hoặc hành động.",""
"emotions.fear-3-anxious.question","What general threats or big uncertainties are present? What do you need to prepare for or protect against?","Những mối đe dọa chung hoặc sự không chắc chắn lớn nào đang hiện diện? Bạn cần chuẩn bị hoặc bảo vệ trước điều gì?",""
"emotions.fear-3-anxious.overloadRisk","If you over-use this feeling, you may ruminate, catastrophize, or create imagined problems that drain your energy.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể nghiền ngẫm, thổi phồng mọi chuyện, hoặc tạo ra những vấn đề tưởng tượng làm cạn kiệt năng lượng của bạn.",""
"emotions.fear-3-anxious.overloadTip","To balance, sort your worries into 'things I can influence' and 'things I cannot,' then choose one small step on something you can influence.","Để cân bằng, hãy phân loại những lo lắng thành 'những điều tôi có thể ảnh hưởng' và 'những điều tôi không thể,' sau đó chọn một bước nhỏ cho điều bạn có thể ảnh hưởng.",""
"emotions.fear-3-anxious.adaptivePurpose","Signals that you are scanning for long-term threats or uncertainties that may need planning or protection.","Báo hiệu rằng bạn đang quét tìm những mối đe dọa hoặc sự không chắc chắn dài hạn có thể cần được lên kế hoạch hoặc bảo vệ.",""
"emotions.fear-3-anxious.relatedFeelings","Dread | Worry | Tense","Kinh Hoàng | Lo Lắng | Căng Thẳng","Pipe-separated list"
"emotions.fear-3-anxious.borderInfo","Anxious is Fear spread across time—worry about future threats. It sits between Scared (immediate fear) and Insecure (fear about self).","Lo Âu là Sợ Hãi trải dài theo thời gian—nỗi lo về những mối đe dọa trong tương lai. Nó nằm giữa Hoảng Sợ (sợ hãi ngay lập tức) và Thiếu Tự Tin (sợ hãi về bản thân).",""
"emotions.fear-3-anxious.story","The presentation wasn't for another week, but Lisa couldn't stop thinking about it. What if the projector failed? What if the CEO asked a question she couldn't answer? What if her voice shook? She lay awake at 3 AM, her mind spinning through worst-case scenarios, each worry branching into three more. She knew this spiral wasn't helpful, but couldn't seem to stop it.","Bài thuyết trình còn một tuần nữa, nhưng Lisa không thể ngừng nghĩ về nó. Nếu máy chiếu hỏng thì sao? Nếu CEO đặt câu hỏi mà cô không trả lời được thì sao? Nếu giọng cô run thì sao? Cô nằm thức đến 3 giờ sáng, tâm trí xoay quanh những tình huống xấu nhất, mỗi nỗi lo lại rẽ ra thêm ba nỗi lo khác. Cô biết vòng xoáy này không hữu ích, nhưng dường như không thể dừng lại được.",""
"emotions.fear-4-insecure.name","Insecure","Thiếu Tự Tin",""
"emotions.fear-4-insecure.category","Fear","Sợ Hãi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.fear-4-insecure.description","A lack of confidence or certainty about yourself or your place in a situation. Insecurity often stems from self-doubt or fear of rejection.","Sự thiếu tự tin hoặc chắc chắn về bản thân hay vị trí của bạn trong một tình huống. Thiếu tự tin thường xuất phát từ sự nghi ngờ bản thân hoặc sợ bị từ chối.",""
"emotions.fear-4-insecure.question","What makes you doubt yourself? What do you fear others might think or see?","Điều gì khiến bạn nghi ngờ bản thân? Bạn sợ người khác có thể nghĩ hoặc thấy điều gì?",""
"emotions.fear-4-insecure.overloadRisk","If you over-use this feeling, you may constantly seek validation, people-please, or hold back your contributions.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể liên tục tìm kiếm sự xác nhận, làm hài lòng người khác, hoặc giữ lại những đóng góp của mình.",""
"emotions.fear-4-insecure.overloadTip","To balance, remember concrete evidence of your strengths and seek grounded feedback from someone you trust, not just imagined criticism.","Để cân bằng, hãy nhớ lại bằng chứng cụ thể về điểm mạnh của bạn và tìm kiếm phản hồi thực tế từ người bạn tin tưởng, không phải từ những chỉ trích tưởng tượng.",""
"emotions.fear-4-insecure.adaptivePurpose","Signals that your sense of worth, competence, or acceptance feels shaky and you may need reassurance, learning, or boundaries.","Báo hiệu rằng cảm giác về giá trị, năng lực hoặc sự chấp nhận của bạn đang lung lay và bạn có thể cần sự đảm bảo, học hỏi hoặc ranh giới.",""
"emotions.fear-4-insecure.relatedFeelings","Rejected | Inadequate | Uncertain","Bị Từ Chối | Không Đủ Năng Lực | Không Chắc Chắn","Pipe-separated list"
"emotions.fear-4-insecure.borderInfo","Insecure is near Surprise because it involves unexpected threats to self-worth.","Thiếu Tự Tin gần với Ngạc Nhiên vì nó liên quan đến những mối đe dọa bất ngờ đối với lòng tự trọng.",""
"emotions.fear-4-insecure.story","Everyone at the dinner party seemed to know each other from business school. They traded references to professors and inside jokes while Marcus smiled and nodded, feeling increasingly invisible. ""What do you do?"" someone finally asked him, and suddenly his job—which he'd been proud of that morning—seemed inadequate. Who was he to be here among these people?","Tất cả mọi người tại bữa tiệc tối dường như quen biết nhau từ trường kinh doanh. Họ trao đổi những tham chiếu đến giáo sư và những câu chuyện nội bộ trong khi Marcus mỉm cười và gật đầu, cảm thấy ngày càng vô hình. ""Bạn làm gì?"" ai đó cuối cùng hỏi anh, và đột nhiên công việc của anh—thứ mà sáng nay anh vẫn tự hào—dường như không đủ. Anh là ai mà có mặt ở đây giữa những người này?",""
"emotions.surprise-1-startled.name","Startled","Giật Mình",""
"emotions.surprise-1-startled.category","Surprise","Ngạc Nhiên","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.surprise-1-startled.description","A sudden feeling of shock or alarm caused by something unexpected. Being startled is an immediate, automatic response to surprise.","Cảm giác sốc hoặc báo động đột ngột do điều gì đó bất ngờ gây ra. Giật mình là phản ứng ngay lập tức và tự động trước sự ngạc nhiên.",""
"emotions.surprise-1-startled.question","What sudden change or signal needs your attention right now?","Sự thay đổi đột ngột hay tín hiệu nào cần sự chú ý của bạn ngay bây giờ?",""
"emotions.surprise-1-startled.overloadRisk","If you over-use this feeling, you may remain jumpy or hyper-alert, treating everything as an emergency.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể tiếp tục ở trạng thái căng thẳng hoặc cảnh giác cao, xem mọi thứ như một trường hợp khẩn cấp.",""
"emotions.surprise-1-startled.overloadTip","To balance, pause to look, breathe, and check what is actually happening now versus what you feared might be happening.","Để cân bằng, hãy dừng lại để nhìn, thở và kiểm tra những gì đang thực sự xảy ra bây giờ so với những gì bạn sợ có thể xảy ra.",""
"emotions.surprise-1-startled.adaptivePurpose","Signals that something unexpected just happened and your attention needs to orient quickly.","Báo hiệu rằng điều gì đó bất ngờ vừa xảy ra và sự chú ý của bạn cần định hướng nhanh chóng.",""
"emotions.surprise-1-startled.relatedFeelings","Appalled | Shocked | Stunned","Kinh Ngạc | Sốc | Choáng Ngợp","Pipe-separated list"
"emotions.surprise-1-startled.borderInfo","Startled is near Fear because it involves a sudden sense of threat or danger.","Giật Mình gần với Sợ Hãi vì nó liên quan đến cảm giác đột ngột về mối đe dọa hoặc nguy hiểm.",""
"emotions.surprise-1-startled.story","Walking home through the quiet park, headphones in, Priya was lost in a podcast when something burst from the bushes beside her. She jumped back, heart racing, hands up defensively—only to watch a squirrel scamper across the path. She laughed shakily, feeling foolish, but her pulse took several minutes to return to normal.","Đang đi bộ về nhà qua công viên yên tĩnh, tai nghe nhạc, Priya đang chìm đắm trong một podcast khi có thứ gì đó vụt ra từ bụi cây bên cô. Cô nhảy lùi, tim đập nhanh, tay giơ lên phòng thủ—chỉ để nhìn thấy một con sóc chạy ngang đường. Cô cười run run, cảm thấy ngớ ngẩn, nhưng nhịp tim phải mất vài phút mới trở lại bình thường.",""
"emotions.surprise-2-confused.name","Confused","Bối Rối",""
"emotions.surprise-2-confused.category","Surprise","Ngạc Nhiên","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.surprise-2-confused.description","A state of being bewildered or unclear about something. Confusion occurs when information doesn't match your expectations or understanding.","Trạng thái bị bối rối hoặc không rõ ràng về điều gì đó. Sự bối rối xảy ra khi thông tin không khớp với kỳ vọng hoặc hiểu biết của bạn.",""
"emotions.surprise-2-confused.question","What information is missing or unclear? What would help you make sense of this?","Thông tin nào đang bị thiếu hoặc không rõ ràng? Điều gì sẽ giúp bạn hiểu được điều này?",""
"emotions.surprise-2-confused.overloadRisk","If you over-use this feeling, you may get stuck in doubt, delay decisions, or question everything about yourself and others.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bị mắc kẹt trong sự nghi ngờ, trì hoãn các quyết định, hoặc đặt câu hỏi về tất cả mọi thứ.",""
"emotions.surprise-2-confused.overloadTip","To balance, turn confusion into a question: define one thing you want to understand and seek an answer, experiment, or conversation.","Để cân bằng, hãy biến sự bối rối thành một câu hỏi: xác định một điều bạn muốn hiểu và tìm kiếm câu trả lời, thử nghiệm hoặc cuộc trò chuyện.",""
"emotions.surprise-2-confused.adaptivePurpose","Signals that your current understanding does not fit the facts and you may need new information or perspective.","Báo hiệu rằng sự hiểu biết hiện tại của bạn không phù hợp với thực tế và bạn có thể cần thông tin hoặc góc nhìn mới.",""
"emotions.surprise-2-confused.relatedFeelings","Disillusioned | Perplexed | Bewildered","Vỡ Mộng | Bế Tắc | Mơ Hồ","Pipe-separated list"
"emotions.surprise-2-confused.borderInfo","Confused is Surprise meeting uncertainty—your mental map doesn't fit reality. It sits between Startled (physical surprise) and Amazed (positive surprise).","Bối Rối là Ngạc Nhiên gặp sự không chắc chắn—bản đồ tâm trí của bạn không phù hợp với thực tế. Nó nằm giữa Giật Mình (ngạc nhiên thể chất) và Kinh Ngạc (ngạc nhiên tích cực).",""
"emotions.surprise-2-confused.story","The email made no sense. After five years of stellar reviews, Daniel was being ""transitioned to a new role""—effective immediately. His boss wouldn't return calls. HR spoke in careful non-answers. He sat at his desk, reading the same sentences over and over, trying to fit the pieces together. What had happened? What had he missed?","Email không có ý nghĩa gì cả. Sau năm năm với những đánh giá xuất sắc, Daniel đang bị ""chuyển sang một vai trò mới""—có hiệu lực ngay lập tức. Sếp anh không trả lời điện thoại. HR nói bằng những câu trả lời cẩn thận không nói gì. Anh ngồi ở bàn làm việc, đọc đi đọc lại những câu giống nhau, cố gắng ghép các mảnh lại với nhau. Điều gì đã xảy ra? Anh đã bỏ lỡ điều gì?",""
"emotions.surprise-3-amazed.name","Amazed","Kinh Ngạc",""
"emotions.surprise-3-amazed.category","Surprise","Ngạc Nhiên","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.surprise-3-amazed.description","A feeling of great wonder and astonishment. Amazement is a positive form of surprise that fills you with awe.","Cảm giác kinh ngạc và sửng sốt lớn lao. Sự kinh ngạc là hình thức ngạc nhiên tích cực lấp đầy bạn bằng sự kính sợ.",""
"emotions.surprise-3-amazed.question","What exceeded your expectations? What possibility does this open?","Điều gì đã vượt quá kỳ vọng của bạn? Điều này mở ra khả năng nào?",""
"emotions.surprise-3-amazed.overloadRisk","If you over-use this feeling, you may idealize people or situations and miss real limits or risks.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể lý tưởng hóa con người hoặc tình huống và bỏ lỡ những giới hạn hoặc rủi ro thực tế.",""
"emotions.surprise-3-amazed.overloadTip","To balance, name what delights you and also one practical step or boundary that keeps you grounded while you explore this new possibility.","Để cân bằng, hãy nhận diện những gì làm bạn vui thích và cũng một bước thực tế hoặc ranh giới giữ bạn vững chắc trong khi khám phá khả năng mới này.",""
"emotions.surprise-3-amazed.adaptivePurpose","Signals that something is far better, bigger, or more beautiful than you expected and your sense of possibility is expanding.","Báo hiệu rằng điều gì đó tốt hơn, lớn hơn hoặc đẹp hơn nhiều so với bạn mong đợi và cảm giác về khả năng của bạn đang mở rộng.",""
"emotions.surprise-3-amazed.relatedFeelings","Astonished | Awed | Impressed","Sững Sờ | Kính Sợ | Ấn Tượng","Pipe-separated list"
"emotions.surprise-3-amazed.borderInfo","Amazed is the positive heart of Surprise—wonder at something exceeding expectations. It sits between Confused (neutral surprise) and Disappointed (negative surprise).","Kinh Ngạc là trái tim tích cực của Ngạc Nhiên—sự kỳ diệu trước điều vượt xa kỳ vọng. Nó nằm giữa Bối Rối (ngạc nhiên trung tính) và Thất Vọng (ngạc nhiên tiêu cực).",""
"emotions.surprise-3-amazed.story","Standing at the rim of the Grand Canyon for the first time, words failed her. Photographs hadn't prepared Jennifer for this—the impossible scale, the layers of color, the silence broken only by wind. She'd seen beautiful places before, but this was different. This made her feel small in a way that was somehow comforting, connected to something vast and ancient.","Đứng trên miệng Grand Canyon lần đầu tiên, ngôn ngữ không diễn đạt được cảm xúc của cô. Những bức ảnh không chuẩn bị cho Jennifer điều này—quy mô không thể tin được, những lớp màu sắc, sự im lặng chỉ bị phá vỡ bởi gió. Cô đã thấy những nơi đẹp trước đây, nhưng điều này khác. Điều này khiến cô cảm thấy nhỏ bé theo cách nào đó lại an ủi, kết nối với điều gì đó bao la và cổ xưa.",""
"emotions.surprise-4-disappointed.name","Disappointed","Thất Vọng",""
"emotions.surprise-4-disappointed.category","Surprise","Ngạc Nhiên","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.surprise-4-disappointed.description","A feeling of sadness or displeasure when expectations are not met. Disappointment signals a gap between what you hoped for and reality.","Cảm giác buồn bã hoặc không hài lòng khi kỳ vọng không được đáp ứng. Sự thất vọng báo hiệu khoảng cách giữa những gì bạn hy vọng và thực tế.",""
"emotions.surprise-4-disappointed.question","What expectation wasn't met? What matters to you about this outcome?","Kỳ vọng nào không được đáp ứng? Điều gì quan trọng với bạn về kết quả này?",""
"emotions.surprise-4-disappointed.overloadRisk","If you over-use this feeling, you may slide into cynicism, giving up on future efforts or relationships.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể trượt vào sự hoài nghi, từ bỏ những nỗ lực hoặc mối quan hệ trong tương lai.",""
"emotions.surprise-4-disappointed.overloadTip","To balance, name the expectation clearly, then decide whether to revise the goal, your strategy, or the timeline—and choose one next action.","Để cân bằng, hãy nhận diện kỳ vọng một cách rõ ràng, sau đó quyết định xem có nên sửa đổi mục tiêu, chiến lược hoặc dòng thời gian của bạn không—và chọn một hành động tiếp theo.",""
"emotions.surprise-4-disappointed.adaptivePurpose","Signals that reality did not match your hopes and something you cared about feels diminished or lost.","Báo hiệu rằng thực tế không khớp với hy vọng của bạn và điều gì đó bạn quan tâm cảm thấy bị giảm giá trị hoặc mất đi.",""
"emotions.surprise-4-disappointed.relatedFeelings","Betrayed | Dismayed | Let down","Bị Phản Bội | Chán Nản | Bị Bỏ Rơi","Pipe-separated list"
"emotions.surprise-4-disappointed.borderInfo","Disappointed is near Sadness because it involves loss of hope and unmet expectations.","Thất Vọng gần với Buồn Bã vì nó liên quan đến sự mất mát của hy vọng và những kỳ vọng không được đáp ứng.",""
"emotions.surprise-4-disappointed.story","""We've decided to go in a different direction."" The words hung in the air of the gallery. Chloe had spent eight months on this commission, pouring her vision into every brushstroke. The client had seemed so enthusiastic in their meetings. Now they wanted ""something more conventional."" She smiled professionally, shook hands, and waited until she reached her car to let the tears fall.","""Chúng tôi đã quyết định đi theo hướng khác."" Những từ ngữ lơ lửng trong không khí của phòng trưng bày. Chloe đã dành tám tháng cho hợp đồng này, đổ tầm nhìn của mình vào từng nét cọ. Khách hàng dường như rất nhiệt tình trong các cuộc họp của họ. Giờ họ muốn ""thứ gì đó thông thường hơn."" Cô mỉm cười chuyên nghiệp, bắt tay, và chờ đợi cho đến khi cô đến được xe của mình mới để nước mắt rơi.",""
"emotions.sad-1-hurt.name","Hurt","Bị Tổn Thương",""
"emotions.sad-1-hurt.category","Sadness","Buồn Bã","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.sad-1-hurt.description","Emotional pain caused by something or someone. Hurt feelings often arise from perceived rejection, criticism, or loss.","Nỗi đau cảm xúc do điều gì đó hoặc ai đó gây ra. Những cảm xúc bị tổn thương thường phát sinh từ sự từ chối, chỉ trích hoặc mất mát được cảm nhận.",""
"emotions.sad-1-hurt.question","What value or relationship was impacted? What healing or repair would help?","Giá trị hay mối quan hệ nào bị ảnh hưởng? Sự chữa lành hay sửa chữa nào sẽ giúp ích?",""
"emotions.sad-1-hurt.overloadRisk","If you over-use this feeling, you may hold onto grudges, assume bad intentions, or close yourself off from repair.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể giữ mãi oán giận, suy diễn những ý định xấu, hoặc đóng cửa với sự sửa chữa.",""
"emotions.sad-1-hurt.overloadTip","To balance, acknowledge the pain and why it matters, then consider whether and how you want to communicate it or seek healing support.","Để cân bằng, hãy thừa nhận nỗi đau và lý do tại sao nó quan trọng, sau đó xem xét có muốn và làm thế nào để truyền đạt hoặc tìm kiếm sự hỗ trợ chữa lành.",""
"emotions.sad-1-hurt.adaptivePurpose","Signals that something or someone important has wounded your sense of safety, worth, or connection.","Báo hiệu rằng điều gì đó hoặc ai đó quan trọng đã làm tổn thương cảm giác an toàn, giá trị hoặc sự kết nối của bạn.",""
"emotions.sad-1-hurt.relatedFeelings","Dismayed | Threatened | Wounded","Chán Nản | Bị Đe Dọa | Bị Thương","Pipe-separated list"
"emotions.sad-1-hurt.borderInfo","Hurt is near Surprise because it often comes from unexpected emotional wounds.","Bị Tổn Thương gần với Ngạc Nhiên vì nó thường đến từ những vết thương cảm xúc bất ngờ.",""
"emotions.sad-1-hurt.story","""I just don't think you're leadership material."" The words from his mentor—someone he'd trusted for years—landed like a punch. Robert had shared his dreams of running his own department someday, made himself vulnerable. Now that vulnerability felt like a mistake. The criticism might have been constructive, but wrapped in that dismissive phrase, it just felt like betrayal.","""Tôi chỉ không nghĩ bạn có chất lãnh đạo."" Những từ ngữ từ người cố vấn của anh—người mà anh đã tin tưởng trong nhiều năm—đổ xuống như một cú đấm. Robert đã chia sẻ những giấc mơ về việc điều hành bộ phận của riêng mình một ngày nào đó, đã tự để mình dễ bị tổn thương. Giờ sự dễ bị tổn thương đó cảm thấy như một sai lầm. Lời chỉ trích có thể mang tính xây dựng, nhưng được bọc trong cụm từ khinh thường đó, nó chỉ cảm thấy như sự phản bội.",""
"emotions.sad-2-depressed.name","Depressed","Trầm Uất",""
"emotions.sad-2-depressed.category","Sadness","Buồn Bã","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.sad-2-depressed.description","A state of deep sadness and low energy. Depression can make everything feel heavy and difficult to manage.","Trạng thái buồn bã sâu sắc và năng lượng thấp. Sự trầm uất có thể khiến mọi thứ cảm thấy nặng nề và khó quản lý.",""
"emotions.sad-2-depressed.question","What feels depleted or hopeless? What small source of care, support, or meaning can you reconnect with?","Điều gì cảm thấy kiệt sức hoặc vô vọng? Nguồn chăm sóc, hỗ trợ hoặc ý nghĩa nhỏ nào bạn có thể kết nối lại?",""
"emotions.sad-2-depressed.overloadRisk","If you over-use this feeling, you may stop seeing any possibility, withdraw completely, or neglect basic self-care.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể ngừng nhìn thấy bất kỳ khả năng nào, rút lui hoàn toàn, hoặc bỏ bê việc chăm sóc bản thân cơ bản.",""
"emotions.sad-2-depressed.overloadTip","To balance, choose one tiny, compassionate action—such as reaching out, moving your body, or doing one simple task—that adds a bit of structure or support.","Để cân bằng, hãy chọn một hành động nhỏ, đầy lòng trắc ẩn—chẳng hạn như tiếp cận, vận động cơ thể, hoặc làm một nhiệm vụ đơn giản—thêm một chút cấu trúc hoặc hỗ trợ.",""
"emotions.sad-2-depressed.adaptivePurpose","Signals that your energy, motivation, or sense of meaning has dropped and you may need rest, support, or reorientation.","Báo hiệu rằng năng lượng, động lực hoặc cảm giác về ý nghĩa của bạn đã giảm xuống và bạn có thể cần nghỉ ngơi, hỗ trợ hoặc tái định hướng.",""
"emotions.sad-2-depressed.relatedFeelings","Bereft | Numb | Empty","Mất Mát | Tê Liệt | Trống Rỗng","Pipe-separated list"
"emotions.sad-2-depressed.borderInfo","Depressed is deep Sadness—energy and hope depleted. It sits between Hurt (acute pain) and Lonely (disconnection from others).","Trầm Uất là Buồn Bã sâu sắc—năng lượng và hy vọng cạn kiệt. Nó nằm giữa Bị Tổn Thương (nỗi đau cấp tính) và Cô Đơn (sự xa cách với người khác).",""
"emotions.sad-2-depressed.story","Getting out of bed had become the hardest part. Emma would lie there, knowing she had things to do, people counting on her, and feel nothing—just a heavy emptiness that made even showering feel like climbing a mountain. Colors seemed muted. Food had no taste. She went through the motions of her life while feeling like she was watching it from far away.","Việc ra khỏi giường đã trở thành phần khó khăn nhất. Emma sẽ nằm đó, biết mình có việc phải làm, có người đang trông cậy vào cô, và không cảm thấy gì—chỉ là một sự trống rỗng nặng nề khiến ngay cả việc tắm cũng cảm thấy như leo núi. Màu sắc có vẻ mờ nhạt hơn. Thức ăn không có vị gì. Cô thực hiện những động tác của cuộc sống trong khi cảm thấy như đang xem nó từ xa.",""
"emotions.sad-3-lonely.name","Lonely","Cô Đơn",""
"emotions.sad-3-lonely.category","Sadness","Buồn Bã","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.sad-3-lonely.description","A painful feeling of isolation or disconnection from others. Loneliness highlights our need for meaningful connection.","Cảm giác đau đớn về sự cô lập hoặc xa cách với người khác. Sự cô đơn làm nổi bật nhu cầu kết nối có ý nghĩa của chúng ta.",""
"emotions.sad-3-lonely.question","What connection do you need right now? Who could help you feel more seen or supported?","Bạn cần sự kết nối nào ngay bây giờ? Ai có thể giúp bạn cảm thấy được nhìn nhận hoặc được hỗ trợ hơn?",""
"emotions.sad-3-lonely.overloadRisk","If you over-use this feeling, you may believe you are fundamentally alone or unlovable and pull back even more.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể tin rằng bạn về cơ bản là một mình hoặc không thể được yêu và rút lui thêm nữa.",""
"emotions.sad-3-lonely.overloadTip","To balance, identify one small, safe way to reach toward connection—a message, a call, a shared space, or naming your need to someone you trust.","Để cân bằng, hãy xác định một cách nhỏ, an toàn để tiếp cận sự kết nối—một tin nhắn, một cuộc gọi, một không gian chung, hoặc đặt tên nhu cầu của bạn với người bạn tin tưởng.",""
"emotions.sad-3-lonely.adaptivePurpose","Signals that your need for connection, belonging, or being seen is not being met.","Báo hiệu rằng nhu cầu kết nối, thuộc về hoặc được nhìn nhận của bạn không được đáp ứng.",""
"emotions.sad-3-lonely.relatedFeelings","Abandoned | Isolated | Disconnected","Bị Bỏ Rơi | Bị Cô Lập | Mất Kết Nối","Pipe-separated list"
"emotions.sad-3-lonely.borderInfo","Lonely is Sadness about connection—the pain of feeling unseen or apart. It sits between Depressed (inner emptiness) and Ashamed (self-judgment).","Cô Đơn là Buồn Bã về sự kết nối—nỗi đau của việc không được nhìn nhận hoặc bị cách biệt. Nó nằm giữa Trầm Uất (trống rỗng nội tâm) và Xấu Hổ (tự phán xét bản thân).",""
"emotions.sad-3-lonely.story","The apartment was full of boxes from the move. New city, new job, fresh start—everything she'd wanted. But sitting on her bare mattress that first night, phone full of contacts yet no one to call, Yuki felt the weight of her aloneness. She could hear her neighbors through the walls, living their lives, and the sounds only made the silence in her own space louder.","Căn hộ đầy những thùng từ lần chuyển nhà. Thành phố mới, công việc mới, khởi đầu mới—mọi thứ cô muốn. Nhưng ngồi trên chiếc nệm trần của mình đêm đầu tiên, điện thoại đầy danh bạ nhưng không có ai để gọi, Yuki cảm thấy sức nặng của sự cô đơn. Cô có thể nghe thấy hàng xóm qua các bức tường, đang sống cuộc sống của họ, và những âm thanh đó chỉ khiến sự im lặng trong không gian của cô trở nên to hơn.",""
"emotions.sad-4-ashamed.name","Ashamed","Xấu Hổ",""
"emotions.sad-4-ashamed.category","Sadness","Buồn Bã","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.sad-4-ashamed.description","A painful feeling of humiliation or distress caused by believing you've done something wrong or embarrassing. Shame affects how you see yourself.","Cảm giác đau đớn về sự nhục nhã hoặc đau khổ do tin rằng bạn đã làm điều gì đó sai hoặc đáng xấu hổ. Xấu hổ ảnh hưởng đến cách bạn nhìn nhận bản thân.",""
"emotions.sad-4-ashamed.question","What standard are you holding yourself to? What self-compassion or repair would support growth?","Bạn đang giữ bản thân theo tiêu chuẩn nào? Sự tự thông cảm hoặc sửa chữa nào sẽ hỗ trợ sự tăng trưởng?",""
"emotions.sad-4-ashamed.overloadRisk","If you over-use this feeling, you may turn a specific mistake into a belief that you are bad or unworthy and hide your true self.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể biến một sai lầm cụ thể thành niềm tin rằng bạn tệ hoặc không xứng đáng và ẩn giấu bản thân thật.",""
"emotions.sad-4-ashamed.overloadTip","To balance, separate 'I did something' from 'I am something,' and choose one step of learning, repair, or apology that aligns with your values.","Để cân bằng, hãy phân biệt 'tôi đã làm điều gì đó' với 'tôi là điều gì đó,' và chọn một bước học hỏi, sửa chữa hoặc xin lỗi phù hợp với giá trị của bạn.",""
"emotions.sad-4-ashamed.adaptivePurpose","Signals that your behavior or choices may not match your values and invites reflection, repair, and growth.","Báo hiệu rằng hành vi hoặc lựa chọn của bạn có thể không phù hợp với giá trị của bạn và mời suy ngẫm, sửa chữa và tăng trưởng.",""
"emotions.sad-4-ashamed.relatedFeelings","Remorseful | Guilty | Embarrassed","Hối Hận | Tội Lỗi | Ngượng Ngùng","Pipe-separated list"
"emotions.sad-4-ashamed.borderInfo","Ashamed is near Disgust because it involves negative judgment of oneself.","Xấu Hổ gần với Ghê Tởm vì nó liên quan đến sự phán xét tiêu cực về bản thân.",""
