"key","english","chinese","claude_note"
"emotions.fear-2-scared.story","The smoke alarm went off at 2 AM. Heart pounding, Kevin grabbed his phone and ran to check the kitchen. Nothing. The hallway. Nothing. Then he smelled it—smoke seeping under his apartment door from the hallway. This was real. His hands shook as he called 911, grabbed his wallet, and headed for the fire escape. Everything felt suddenly, terrifyingly immediate.","凌晨两点烟雾报警器响了。心怦怦直跳，Kevin抓起手机跑去检查厨房。没有。走廊。也没有。然后他闻到了——烟雾从公寓门下的走廊渗进来。这是真的。他双手颤抖着拨打了911，拿起钱包，冲向消防梯。一切突然间变得如此紧迫和可怕。","Narrative vignette; character names (Kevin, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.fear-2-scared.borderInfo","Scared is the active center of Fear—an immediate response to perceived danger. It sits between Nervous (milder concern) and Anxious (broader worry).","“害怕”是恐惧的活跃中心——对感知到的危险的即时反应。它位于“紧张”（较温和的担忧）和“焦虑”（更广泛的忧虑）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.fear-3-anxious.name","Anxious","焦虑","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.fear-3-anxious.category","Fear","恐惧","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-3-anxious.description","A feeling of worry, nervousness, or unease about something with an uncertain outcome. Anxiety can be a signal to prepare or take action.","对结果不确定的事物感到担忧、紧张或不安。焦虑可以是一种准备或采取行动的信号。",""
"emotions.fear-3-anxious.question","What general threats or big uncertainties are present? What do you need to prepare for or protect against?","存在哪些整体威胁或重大不确定性？你需要为什么做准备或防范？",""
"emotions.fear-3-anxious.overloadRisk","If you over-use this feeling, you may ruminate, catastrophize, or create imagined problems that drain your energy.","如果过度使用这种情绪，你可能会反复纠结、把事情灾难化，或制造出消耗精力的想象问题。",""
"emotions.fear-3-anxious.overloadTip","To balance, sort your worries into 'things I can influence' and 'things I cannot,' then choose one small step on something you can influence.","为了保持平衡，把你的担忧分为我能影响的""和""我不能影响的""，然后在你能影响的事情上选择一个小步骤。""",""
"emotions.fear-3-anxious.adaptivePurpose","Signals that you are scanning for long-term threats or uncertainties that may need planning or protection.","表明你正在扫描可能需要规划或防范的长期威胁或不确定性。",""
"emotions.fear-3-anxious.relatedFeelings[0]","Dread","恐惧","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-3-anxious.relatedFeelings[1]","Worry","担忧","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-3-anxious.relatedFeelings[2]","Tense","紧绷","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-3-anxious.story","The presentation wasn't for another week, but Lisa couldn't stop thinking about it. What if the projector failed? What if the CEO asked a question she couldn't answer? What if her voice shook? She lay awake at 3 AM, her mind spinning through worst-case scenarios, each worry branching into three more. She knew this spiral wasn't helpful, but couldn't seem to stop it.","演示还有一周，但Lisa停不下来地想。如果投影仪坏了怎么办？如果CEO问了她回答不了的问题怎么办？如果她的声音发抖怎么办？凌晨三点她躺着睡不着，脑子里转着最坏的情景，每个担忧又分出三个新的。她知道这种螺旋毫无帮助，但似乎无法停止。","Narrative vignette; character names (Lisa, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.fear-3-anxious.borderInfo","Anxious is Fear spread across time—worry about future threats. It sits between Scared (immediate fear) and Insecure (fear about self).","“焦虑”是跨越时间的恐惧——对未来威胁的忧虑。它位于“害怕”（即时的恐惧）和“不安全感”（对自我的恐惧）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.fear-4-insecure.name","Insecure","不安全感","Emotion name; nuanced term -- ""不安全感"" is a noun form; could also be ""缺乏安全感"". Verify the usage feels natural as an emotion name label."
"emotions.fear-4-insecure.category","Fear","恐惧","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-4-insecure.description","A lack of confidence or certainty about yourself or your place in a situation. Insecurity often stems from self-doubt or fear of rejection.","对自己或自己在某种情境中的位置缺乏信心或确定性。不安全感通常源于自我怀疑或对被拒绝的恐惧。",""
"emotions.fear-4-insecure.question","What makes you doubt yourself? What do you fear others might think or see?","是什么让你怀疑自己？你担心别人会怎么想或看到什么？",""
"emotions.fear-4-insecure.overloadRisk","If you over-use this feeling, you may constantly seek validation, people-please, or hold back your contributions.","如果过度使用这种情绪，你可能会不断寻求认可、取悦他人，或隐藏自己的贡献。",""
"emotions.fear-4-insecure.overloadTip","To balance, remember concrete evidence of your strengths and seek grounded feedback from someone you trust, not just imagined criticism.","为了保持平衡，回忆你优势的具体证据，并从你信任的人那里寻求踏实的反馈，而非仅依赖想象中的批评。",""
"emotions.fear-4-insecure.adaptivePurpose","Signals that your sense of worth, competence, or acceptance feels shaky and you may need reassurance, learning, or boundaries.","表明你的价值感、能力感或被接纳感正在动摇，你可能需要安慰、学习或设立边界。",""
"emotions.fear-4-insecure.relatedFeelings[0]","Rejected","被拒绝","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-4-insecure.relatedFeelings[1]","Inadequate","不足","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-4-insecure.relatedFeelings[2]","Uncertain","不确定","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-4-insecure.borderInfo","Insecure is near Surprise because it involves unexpected threats to self-worth.","不安全感靠近惊讶，因为它涉及对自我价值的意外威胁。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.fear-4-insecure.story","Everyone at the dinner party seemed to know each other from business school. They traded references to professors and inside jokes while Marcus smiled and nodded, feeling increasingly invisible. ""What do you do?"" someone finally asked him, and suddenly his job—which he'd been proud of that morning—seemed inadequate. Who was he to be here among these people?","晚宴上的每个人似乎都是商学院的同学。他们互相提到教授和内部笑话，而Marcus微笑着点头，感觉自己越来越隐形。你做什么工作？""终于有人问他，突然间他的工作——今天早上他还为之自豪的——似乎不够格了。他算什么，配在这些人中间？""","Narrative vignette; character names (Marcus, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.surprise-1-startled.name","Startled","受惊","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.surprise-1-startled.category","Surprise","惊讶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-1-startled.description","A sudden feeling of shock or alarm caused by something unexpected. Being startled is an immediate, automatic response to surprise.","由意外事物引起的突然震惊或警觉。受惊是对惊喜的即时、自动反应。",""
"emotions.surprise-1-startled.question","What sudden change or signal needs your attention right now?","什么突然的变化或信号需要你立即关注？",""
"emotions.surprise-1-startled.overloadRisk","If you over-use this feeling, you may remain jumpy or hyper-alert, treating everything as an emergency.","如果过度使用这种情绪，你可能保持紧张或过度警觉，把一切都当作紧急情况。",""
"emotions.surprise-1-startled.overloadTip","To balance, pause to look, breathe, and check what is actually happening now versus what you feared might be happening.","为了保持平衡，停下来看看、呼吸，检查现在实际发生了什么，而非你担心可能发生的事。",""
"emotions.surprise-1-startled.adaptivePurpose","Signals that something unexpected just happened and your attention needs to orient quickly.","表明刚发生了意料之外的事情，你的注意力需要迅速定位。",""
"emotions.surprise-1-startled.relatedFeelings[0]","Appalled","震惊","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-1-startled.relatedFeelings[1]","Shocked","惊愕","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-1-startled.relatedFeelings[2]","Stunned","呆住","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-1-startled.borderInfo","Startled is near Fear because it involves a sudden sense of threat or danger.","受惊靠近恐惧，因为它涉及突然的威胁感或危险感。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.surprise-1-startled.story","Walking home through the quiet park, headphones in, Priya was lost in a podcast when something burst from the bushes beside her. She jumped back, heart racing, hands up defensively—only to watch a squirrel scamper across the path. She laughed shakily, feeling foolish, but her pulse took several minutes to return to normal.","傍晚走在安静的公园里，戴着耳机，Priya沉浸在播客中，突然有什么东西从旁边的灌木丛里冲了出来。她猛地跳开，心跳加速，双手防御性地举起——却看到一只松鼠蹦过了小路。她颤抖着笑了，觉得自己很傻，但她的脉搏花了好几分钟才恢复正常。","Narrative vignette; character names (Priya, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.surprise-2-confused.name","Confused","困惑","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.surprise-2-confused.category","Surprise","惊讶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-2-confused.description","A state of being bewildered or unclear about something. Confusion occurs when information doesn't match your expectations or understanding.","对某事感到迷惑或不清楚的状态。困惑发生在信息与你的期望或理解不匹配时。",""
"emotions.surprise-2-confused.question","What information is missing or unclear? What would help you make sense of this?","缺少或不清楚什么信息？什么能帮助你理解这个情况？",""
"emotions.surprise-2-confused.overloadRisk","If you over-use this feeling, you may get stuck in doubt, delay decisions, or question everything about yourself and others.","如果过度使用这种情绪，你可能陷入怀疑、拖延决定，或对自己和他人的一切产生质疑。",""
"emotions.surprise-2-confused.overloadTip","To balance, turn confusion into a question: define one thing you want to understand and seek an answer, experiment, or conversation.","为了保持平衡，把困惑转化为一个问题：确定一件你想弄明白的事，然后寻找答案、实验或对话。",""
"emotions.surprise-2-confused.adaptivePurpose","Signals that your current understanding does not fit the facts and you may need new information or perspective.","表明你当前的理解不符合事实，你可能需要新的信息或视角。",""
"emotions.surprise-2-confused.relatedFeelings[0]","Disillusioned","幻灭","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-2-confused.relatedFeelings[1]","Perplexed","迷茫","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-2-confused.relatedFeelings[2]","Bewildered","不知所措","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-2-confused.story","The email made no sense. After five years of stellar reviews, Daniel was being ""transitioned to a new role""—effective immediately. His boss wouldn't return calls. HR spoke in careful non-answers. He sat at his desk, reading the same sentences over and over, trying to fit the pieces together. What had happened? What had he missed?","那封邮件毫无道理。在五年出色的考核之后，Daniel被调到新的岗位""——立即生效。他的老板不回电话。人事部门用小心翼翼的非答案回应。他坐在桌前，反复阅读同样的句子，试图把碎片拼在一起。发生了什么？他错过了什么？""","Narrative vignette; character names (Daniel, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.surprise-2-confused.borderInfo","Confused is Surprise meeting uncertainty—your mental map doesn't fit reality. It sits between Startled (physical surprise) and Amazed (positive surprise).","“困惑”是惊讶遇上不确定性——你的认知地图与现实不符。它位于“受惊”（身体上的惊讶）和“惊叹”（积极的惊讶）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.surprise-3-amazed.name","Amazed","惊叹","Emotion name; nuanced term -- ""惊叹"" captures wonder/awe well."
"emotions.surprise-3-amazed.category","Surprise","惊讶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-3-amazed.description","A feeling of great wonder and astonishment. Amazement is a positive form of surprise that fills you with awe.","极大的惊奇和震撼感。惊叹是惊喜的积极形式，让你充满敬畏。",""
"emotions.surprise-3-amazed.question","What exceeded your expectations? What possibility does this open?","什么超出了你的期望？这开启了什么可能性？",""
"emotions.surprise-3-amazed.overloadRisk","If you over-use this feeling, you may idealize people or situations and miss real limits or risks.","如果过度使用这种情绪，你可能会理想化人或情境，忽略实际的限制或风险。",""
"emotions.surprise-3-amazed.overloadTip","To balance, name what delights you and also one practical step or boundary that keeps you grounded while you explore this new possibility.","为了保持平衡，说出让你欣喜的事物，同时确定一个实际的步骤或边界，让你在探索新可能性时保持脚踏实地。",""
"emotions.surprise-3-amazed.adaptivePurpose","Signals that something is far better, bigger, or more beautiful than you expected and your sense of possibility is expanding.","表明某些事情远远好于、大于或更美于你的预期，你的可能性感正在扩展。",""
"emotions.surprise-3-amazed.relatedFeelings[0]","Astonished","惊异","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-3-amazed.relatedFeelings[1]","Awed","敬畏","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-3-amazed.relatedFeelings[2]","Impressed","印象深刻","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-3-amazed.story","Standing at the rim of the Grand Canyon for the first time, words failed her. Photographs hadn't prepared Jennifer for this—the impossible scale, the layers of color, the silence broken only by wind. She'd seen beautiful places before, but this was different. This made her feel small in a way that was somehow comforting, connected to something vast and ancient.","第一次站在大峡谷边缘，Jennifer无言以对。照片没有让她为此做好准备——那不可思议的尺度、层层叠叠的色彩、只有风声打破的寂静。她以前也见过美丽的地方，但这是不同的。这让她感到渺小，但那种渺小却令人安慰，与某种广阔而古老的事物相连。","Narrative vignette; character names (Jennifer, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.surprise-3-amazed.borderInfo","Amazed is the positive heart of Surprise—wonder at something exceeding expectations. It sits between Confused (neutral surprise) and Disappointed (negative surprise).","“惊叹”是惊讶的积极核心——对超出期望之事的惊叹。它位于“困惑”（中性的惊讶）和“失望”（消极的惊讶）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.surprise-4-disappointed.name","Disappointed","失望","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.surprise-4-disappointed.category","Surprise","惊讶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-4-disappointed.description","A feeling of sadness or displeasure when expectations are not met. Disappointment signals a gap between what you hoped for and reality.","当期望未被满足时产生的悲伤或不满。失望标志着你所期望的与现实之间的差距。",""
"emotions.surprise-4-disappointed.question","What expectation wasn't met? What matters to you about this outcome?","什么期望没有被满足？这个结果中什么对你来说很重要？",""
"emotions.surprise-4-disappointed.overloadRisk","If you over-use this feeling, you may slide into cynicism, giving up on future efforts or relationships.","如果过度使用这种情绪，你可能滑向愤世嫉俗，放弃未来的努力或关系。",""
"emotions.surprise-4-disappointed.overloadTip","To balance, name the expectation clearly, then decide whether to revise the goal, your strategy, or the timeline—and choose one next action.","为了保持平衡，清楚地说出那个期望，然后决定是修改目标、策略还是时间线——并选择一个下一步行动。",""
"emotions.surprise-4-disappointed.adaptivePurpose","Signals that reality did not match your hopes and something you cared about feels diminished or lost.","表明现实没有达到你的期望，你关心的某些东西感觉被削弱或失去了。",""
"emotions.surprise-4-disappointed.relatedFeelings[0]","Betrayed","被背叛","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-4-disappointed.relatedFeelings[1]","Dismayed","沮丧","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-4-disappointed.relatedFeelings[2]","Let down","落空","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.surprise-4-disappointed.borderInfo","Disappointed is near Sadness because it involves loss of hope and unmet expectations.","失望靠近悲伤，因为它涉及希望的丧失和未满足的期望。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.surprise-4-disappointed.story","""We've decided to go in a different direction."" The words hung in the air of the gallery. Chloe had spent eight months on this commission, pouring her vision into every brushstroke. The client had seemed so enthusiastic in their meetings. Now they wanted ""something more conventional."" She smiled professionally, shook hands, and waited until she reached her car to let the tears fall.","我们决定换一个方向。""这句话悬在画廊的空气中。Chloe花了八个月在这个委托上，在每一笔中倾注了她的创作愿景。客户在会议中似乎非常热情。现在他们想要""更传统的东西""。她专业地微笑，握手，然后等到走到车里才让泪水流下。""","Narrative vignette; character names (Chloe, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.sad-1-hurt.name","Hurt","受伤","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.sad-1-hurt.category","Sadness","悲伤","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-1-hurt.description","Emotional pain caused by something or someone. Hurt feelings often arise from perceived rejection, criticism, or loss.","由某事或某人造成的情感痛苦。受伤的感觉通常源于感知到的拒绝、批评或失去。",""
"emotions.sad-1-hurt.question","What value or relationship was impacted? What healing or repair would help?","什么价值或关系受到了影响？什么样的疗愈或修复会有帮助？",""
"emotions.sad-1-hurt.overloadRisk","If you over-use this feeling, you may hold onto grudges, assume bad intentions, or close yourself off from repair.","如果过度使用这种情绪，你可能会心怀怨恨、假设他人有恶意，或封闭自己不愿修复关系。",""
"emotions.sad-1-hurt.overloadTip","To balance, acknowledge the pain and why it matters, then consider whether and how you want to communicate it or seek healing support.","为了保持平衡，承认痛苦及其重要性，然后考虑你是否以及如何想要表达它或寻求疗愈支持。",""
"emotions.sad-1-hurt.adaptivePurpose","Signals that something or someone important has wounded your sense of safety, worth, or connection.","表明某些重要的人或事伤害了你的安全感、价值感或连接感。",""
"emotions.sad-1-hurt.relatedFeelings[0]","Dismayed","痛心","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-1-hurt.relatedFeelings[1]","Threatened","受威胁","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-1-hurt.relatedFeelings[2]","Wounded","受创","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-1-hurt.borderInfo","Hurt is near Surprise because it often comes from unexpected emotional wounds.","受伤靠近惊讶，因为它往往来自意料之外的情感创伤。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.sad-1-hurt.story","""I just don't think you're leadership material."" The words from his mentor—someone he'd trusted for years—landed like a punch. Robert had shared his dreams of running his own department someday, made himself vulnerable. Now that vulnerability felt like a mistake. The criticism might have been constructive, but wrapped in that dismissive phrase, it just felt like betrayal.","我只是觉得你不是当领导的料。""来自他导师的话——一个他信任多年的人——像一记重拳。Robert曾分享过他有朝一日管理自己部门的梦想，让自己变得脆弱。现在那种脆弱感觉像是一个错误。批评也许是建设性的，但被包裹在那个轻蔑的短语中，它只让人感到背叛。""","Narrative vignette; character names (Robert, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.sad-2-depressed.name","Depressed","抑郁","Emotion name; nuanced term -- ""抑郁"" is the standard clinical/emotional term. Verify it feels appropriate for a general audience emotional literacy context."
"emotions.sad-2-depressed.category","Sadness","悲伤","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-2-depressed.description","A state of deep sadness and low energy. Depression can make everything feel heavy and difficult to manage.","一种深沉的悲伤和低能量状态。抑郁可以让一切都感觉沉重且难以应对。",""
"emotions.sad-2-depressed.question","What feels depleted or hopeless? What small source of care, support, or meaning can you reconnect with?","什么感觉被耗尽或无望？你可以重新连接什么微小的关怀、支持或意义来源？",""
"emotions.sad-2-depressed.overloadRisk","If you over-use this feeling, you may stop seeing any possibility, withdraw completely, or neglect basic self-care.","如果过度使用这种情绪，你可能看不到任何可能性、完全退缩，或忽视基本的自我照顾。",""
"emotions.sad-2-depressed.overloadTip","To balance, choose one tiny, compassionate action—such as reaching out, moving your body, or doing one simple task—that adds a bit of structure or support.","为了保持平衡，选择一个微小的、有爱的行动——比如联系一个人、活动身体、或完成一件简单的事——为生活增添一点结构或支持。",""
"emotions.sad-2-depressed.adaptivePurpose","Signals that your energy, motivation, or sense of meaning has dropped and you may need rest, support, or reorientation.","表明你的能量、动力或意义感已经下降，你可能需要休息、支持或重新定向。",""
"emotions.sad-2-depressed.relatedFeelings[0]","Bereft","空虚","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-2-depressed.relatedFeelings[1]","Numb","麻木","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-2-depressed.relatedFeelings[2]","Empty","虚无","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-2-depressed.story","Getting out of bed had become the hardest part. Emma would lie there, knowing she had things to do, people counting on her, and feel nothing—just a heavy emptiness that made even showering feel like climbing a mountain. Colors seemed muted. Food had no taste. She went through the motions of her life while feeling like she was watching it from far away.","起床变成了最难的部分。Emma躺在那里，知道她有事情要做，有人在指望她，却什么都感觉不到——只是一种沉重的空虚，让连洗澡都像爬山一样。颜色变得暗淡，食物没有味道。她机械地过着生活，却感觉自己在远处旁观。","Narrative vignette; character names (Emma, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.sad-2-depressed.borderInfo","Depressed is deep Sadness—energy and hope depleted. It sits between Hurt (acute pain) and Lonely (disconnection from others).","“抑郁”是深层的悲伤——精力和希望已经耗尽。它位于“受伤”（尖锐的痛苦）和“孤独”（与他人的断连）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.sad-3-lonely.name","Lonely","孤独","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.sad-3-lonely.category","Sadness","悲伤","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-3-lonely.description","A painful feeling of isolation or disconnection from others. Loneliness highlights our need for meaningful connection.","一种痛苦的孤立或与他人断连的感觉。孤独凸显了我们对有意义连接的需要。",""
"emotions.sad-3-lonely.question","What connection do you need right now? Who could help you feel more seen or supported?","你现在需要什么样的连接？谁能帮助你感到更被看见或被支持？",""
"emotions.sad-3-lonely.overloadRisk","If you over-use this feeling, you may believe you are fundamentally alone or unlovable and pull back even more.","如果过度使用这种情绪，你可能会认为自己根本上是孤独的或不可爱的，从而更加退缩。",""
"emotions.sad-3-lonely.overloadTip","To balance, identify one small, safe way to reach toward connection—a message, a call, a shared space, or naming your need to someone you trust.","为了保持平衡，找到一种小而安全的方式去触及连接——一条消息、一通电话、一个共享的空间，或向你信任的人说出你的需求。",""
"emotions.sad-3-lonely.adaptivePurpose","Signals that your need for connection, belonging, or being seen is not being met.","表明你对连接、归属或被看见的需求没有得到满足。",""
"emotions.sad-3-lonely.relatedFeelings[0]","Abandoned","被遗弃","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-3-lonely.relatedFeelings[1]","Isolated","孤立","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-3-lonely.relatedFeelings[2]","Disconnected","断连","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-3-lonely.story","The apartment was full of boxes from the move. New city, new job, fresh start—everything she'd wanted. But sitting on her bare mattress that first night, phone full of contacts yet no one to call, Yuki felt the weight of her aloneness. She could hear her neighbors through the walls, living their lives, and the sounds only made the silence in her own space louder.","公寓里满是搬家的箱子。新城市、新工作、全新的开始——她想要的一切。但第一个晚上坐在光秃秃的床垫上，手机里满是联系人却没人可以打电话，Yuki感受到了独自一人的重量。她能通过墙壁听到邻居们在过他们的生活，这些声音只让她自己空间里的沉默更加响亮。","Narrative vignette; character names (Yuki, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.sad-3-lonely.borderInfo","Lonely is Sadness about connection—the pain of feeling unseen or apart. It sits between Depressed (inner emptiness) and Ashamed (self-judgment).","“孤独”是关于连接的悲伤——感到不被看见或被隔离的痛苦。它位于“抑郁”（内心的空虚）和“羞耻”（自我评判）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.sad-4-ashamed.name","Ashamed","羞耻","Emotion name; nuanced term -- ""羞耻"" is direct; could also be ""惭愧"" which is slightly softer. Verify the intensity matches the English."
"emotions.sad-4-ashamed.category","Sadness","悲伤","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-4-ashamed.description","A painful feeling of humiliation or distress caused by believing you've done something wrong or embarrassing. Shame affects how you see yourself.","因为相信自己做了错事或丢脸的事而产生的痛苦的羞辱或苦恼感。羞耻影响你看待自己的方式。",""
"emotions.sad-4-ashamed.question","What standard are you holding yourself to? What self-compassion or repair would support growth?","你用什么标准要求自己？什么样的自我关怀或修复可以支持成长？",""
"emotions.sad-4-ashamed.overloadRisk","If you over-use this feeling, you may turn a specific mistake into a belief that you are bad or unworthy and hide your true self.","如果过度使用这种情绪，你可能会把一个具体的错误变成认为自己是坏人或不值得的信念，并隐藏真实的自我。",""
"emotions.sad-4-ashamed.overloadTip","To balance, separate 'I did something' from 'I am something,' and choose one step of learning, repair, or apology that aligns with your values.","为了保持平衡，把我做了某事""和""我是某种人""区分开，并选择一个与你价值观一致的学习、修复或道歉的步骤。""",""
"emotions.sad-4-ashamed.adaptivePurpose","Signals that your behavior or choices may not match your values and invites reflection, repair, and growth.","表明你的行为或选择可能不符合你的价值观，邀请你反思、修复和成长。",""
"emotions.sad-4-ashamed.relatedFeelings[0]","Remorseful","悔恨","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-4-ashamed.relatedFeelings[1]","Guilty","内疚","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-4-ashamed.relatedFeelings[2]","Embarrassed","尴尬","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.sad-4-ashamed.borderInfo","Ashamed is near Disgust because it involves negative judgment of oneself.","羞耻靠近厌恶，因为它涉及对自身的负面评判。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.sad-4-ashamed.story","It was just a shortcut, he'd told himself. A few copied paragraphs in a paper no one would read closely anyway. But when the professor called him into her office, evidence spread across her desk, Michael couldn't meet her eyes. The disappointment in her voice was worse than anger would have been. He'd betrayed not just academic rules, but his own sense of who he was.","这只是一个捷径，他对自己说。在一篇不会被仔细阅读的论文中复制了几段话。但当教授叫他进办公室，证据摊在桌上时，Michael无法与她的目光对视。她语气中的失望比愤怒更糟糕。他不仅背叛了学术规则，还背叛了自己对自我身份的认知。","Narrative vignette; character names (Michael, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.disgust-1-dislike.name","Dislike","厌恶","Emotion name; note that ""厌恶"" is also used as the category name for Disgust. ""不喜欢"" or ""反感"" could differentiate the emotion name from the category."
"emotions.disgust-1-dislike.category","Disgust","厌恶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-1-dislike.description","A feeling of aversion or disapproval toward something or someone. Dislike helps you identify what doesn't align with your values.","对某物或某人的反感或不赞同。厌恶帮助你识别什么不符合你的价值观。",""
"emotions.disgust-1-dislike.question","What feels misaligned with your values or preferences? What boundary or choice does this reveal?","什么感觉与你的价值观或偏好不一致？这揭示了什么边界或选择？",""
"emotions.disgust-1-dislike.overloadRisk","If you over-use this feeling, you may slide into harsh judgment, bias, or rejection of people or ideas too quickly.","如果过度使用这种情绪，你可能会滑向苛刻的评判、偏见，或过快地拒绝人或想法。",""
"emotions.disgust-1-dislike.overloadTip","To balance, name specifically what you dislike—behavior, style, or impact—without condemning the whole person or situation, and decide what boundary is actually needed.","为了保持平衡，具体说出你不喜欢的是什么——行为、风格还是影响——不要否定整个人或情境，并决定真正需要什么边界。",""
"emotions.disgust-1-dislike.adaptivePurpose","Signals that something does not fit your tastes, needs, or values and you may want distance or a different choice.","表明某些事物不符合你的品味、需求或价值观，你可能想保持距离或做出不同选择。",""
"emotions.disgust-1-dislike.relatedFeelings[0]","Revolted","反感","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-1-dislike.relatedFeelings[1]","Withdrawn","退缩","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-1-dislike.relatedFeelings[2]","Repulsed","排斥","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
