"key","english","korean","claude_note"
"emotions.fear-2-scared.relatedFeelings","Frightened, Terrified, Alarmed","겁먹은, 공포에 질린, 놀란","Comma-separated list of related feelings"
"emotions.fear-2-scared.story","The smoke alarm went off at 2 AM. Heart pounding, Kevin grabbed his phone and ran to check the kitchen. Nothing. The hallway. Nothing. Then he smelled it—smoke seeping under his apartment door from the hallway. This was real. His hands shook as he called 911, grabbed his wallet, and headed for the fire escape. Everything felt suddenly, terrifyingly immediate.","새벽 2시에 화재 경보가 울렸습니다. 심장이 뛰며 케빈은 휴대폰을 집어 들고 주방을 확인하러 달려갔습니다. 아무것도 없었습니다. 복도. 아무것도 없었습니다. 그때 냄새를 맡았습니다 -- 복도에서 아파트 문 아래로 스며드는 연기. 이것은 진짜였습니다. 손이 떨리며 911에 전화하고 지갑을 챙겨 비상구로 향했습니다. 모든 것이 갑자기, 무섭도록 즉각적으로 느껴졌습니다.",""
"emotions.fear-2-scared.borderInfo","Scared is the active center of Fear—an immediate response to perceived danger. It sits between Nervous (milder concern) and Anxious (broader worry).","“무서운” 느낌은 두려움의 활성화된 중심—인지된 위험에 대한 즉각적 반응입니다. “긴장된”(가벼운 우려)과 “불안한”(더 넓은 걱정) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.fear-3-anxious.name","Anxious","불안한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.fear-3-anxious.category","Fear","두려움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-3-anxious.description","A feeling of worry, nervousness, or unease about something with an uncertain outcome. Anxiety can be a signal to prepare or take action.","결과가 불확실한 무언가에 대한 걱정, 긴장 또는 불안의 느낌입니다. 불안은 준비하거나 행동해야 한다는 신호일 수 있습니다.",""
"emotions.fear-3-anxious.question","What general threats or big uncertainties are present? What do you need to prepare for or protect against?","어떤 전반적인 위협이나 큰 불확실성이 있나요? 무엇에 대비하거나 무엇으로부터 보호해야 하나요?",""
"emotions.fear-3-anxious.overloadRisk","If you over-use this feeling, you may ruminate, catastrophize, or create imagined problems that drain your energy.","이 느낌을 과도하게 사용하면 반추하거나, 재앙적으로 생각하거나, 에너지를 소모하는 상상 속 문제를 만들 수 있습니다.",""
"emotions.fear-3-anxious.overloadTip","To balance, sort your worries into 'things I can influence' and 'things I cannot,' then choose one small step on something you can influence.","균형을 위해, 걱정을 '영향을 미칠 수 있는 것'과 '미칠 수 없는 것'으로 분류한 다음, 영향을 미칠 수 있는 것에 대해 작은 한 걸음을 선택하세요.",""
"emotions.fear-3-anxious.adaptivePurpose","Signals that you are scanning for long-term threats or uncertainties that may need planning or protection.","계획이나 보호가 필요할 수 있는 장기적인 위협이나 불확실성을 살피고 있다는 신호입니다.",""
"emotions.fear-3-anxious.relatedFeelings","Dread, Worry, Tense","공포감, 걱정하는, 팽팽한","Comma-separated list of related feelings"
"emotions.fear-3-anxious.story","The presentation wasn't for another week, but Lisa couldn't stop thinking about it. What if the projector failed? What if the CEO asked a question she couldn't answer? What if her voice shook? She lay awake at 3 AM, her mind spinning through worst-case scenarios, each worry branching into three more. She knew this spiral wasn't helpful, but couldn't seem to stop it.","발표는 아직 일주일이나 남았지만 리사는 그것에 대한 생각을 멈출 수 없었습니다. 프로젝터가 고장 나면? CEO가 대답할 수 없는 질문을 하면? 목소리가 떨리면? 새벽 3시에 누워서 최악의 시나리오를 머릿속으로 돌리며, 각 걱정이 세 가지 더로 갈라졌습니다. 이 악순환이 도움이 안 된다는 것을 알았지만 멈출 수 없는 것 같았습니다.",""
"emotions.fear-3-anxious.borderInfo","Anxious is Fear spread across time—worry about future threats. It sits between Scared (immediate fear) and Insecure (fear about self).","“불안한” 느낌은 시간에 걸쳐 퍼진 두려움—미래의 위협에 대한 걱정입니다. “무서운”(즉각적 두려움)과 “불안정한”(자신에 대한 두려움) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.fear-4-insecure.name","Insecure","불안정한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.fear-4-insecure.category","Fear","두려움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-4-insecure.description","A lack of confidence or certainty about yourself or your place in a situation. Insecurity often stems from self-doubt or fear of rejection.","자신이나 상황에서의 위치에 대한 자신감이나 확신이 부족한 상태입니다. 불안정감은 종종 자기 의심이나 거부에 대한 두려움에서 비롯됩니다.",""
"emotions.fear-4-insecure.question","What makes you doubt yourself? What do you fear others might think or see?","무엇이 자신을 의심하게 만드나요? 다른 사람들이 무엇을 생각하거나 볼까 봐 두려운가요?",""
"emotions.fear-4-insecure.overloadRisk","If you over-use this feeling, you may constantly seek validation, people-please, or hold back your contributions.","이 느낌을 과도하게 사용하면 끊임없이 인정을 구하거나, 다른 사람의 비위를 맞추거나, 기여를 보류할 수 있습니다.",""
"emotions.fear-4-insecure.overloadTip","To balance, remember concrete evidence of your strengths and seek grounded feedback from someone you trust, not just imagined criticism.","균형을 위해, 자신의 강점에 대한 구체적인 증거를 떠올리고, 상상 속 비판이 아니라 신뢰할 수 있는 사람으로부터 건설적인 피드백을 구하세요.",""
"emotions.fear-4-insecure.adaptivePurpose","Signals that your sense of worth, competence, or acceptance feels shaky and you may need reassurance, learning, or boundaries.","자기 가치, 능력 또는 수용에 대한 감각이 흔들리고 있으며 안심, 학습 또는 경계가 필요할 수 있다는 신호입니다.",""
"emotions.fear-4-insecure.relatedFeelings","Rejected, Inadequate, Uncertain","거부당한, 부족한, 불확실한","Comma-separated list of related feelings"
"emotions.fear-4-insecure.borderInfo","Insecure is near Surprise because it involves unexpected threats to self-worth.","불안정한 느낌은 자기 가치에 대한 예상치 못한 위협을 포함하므로 놀라움 영역에 가깝습니다.",""
"emotions.fear-4-insecure.story","Everyone at the dinner party seemed to know each other from business school. They traded references to professors and inside jokes while Marcus smiled and nodded, feeling increasingly invisible. ""What do you do?"" someone finally asked him, and suddenly his job—which he'd been proud of that morning—seemed inadequate. Who was he to be here among these people?","저녁 파티에서 모두가 경영대학원 시절부터 서로를 아는 것 같았습니다. 그들은 교수들에 대한 이야기와 내부 농담을 주고받았고 마커스는 미소 짓고 고개를 끄덕이며 점점 투명인간이 된 기분이 들었습니다. '뭐 하시는 분이세요?'라고 누군가 마침내 물었고, 갑자기 그 아침까지만 해도 자랑스러웠던 자신의 직업이 부족하게 느껴졌습니다. 이 사람들 사이에 있을 자격이 있을까?",""
"emotions.surprise-1-startled.name","Startled","깜짝 놀란","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.surprise-1-startled.category","Surprise","놀라움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-1-startled.description","A sudden feeling of shock or alarm caused by something unexpected. Being startled is an immediate, automatic response to surprise.","예상치 못한 무언가에 의해 야기되는 갑작스러운 충격이나 경계의 느낌입니다. 깜짝 놀람은 놀라움에 대한 즉각적이고 자동적인 반응입니다.",""
"emotions.surprise-1-startled.question","What sudden change or signal needs your attention right now?","어떤 갑작스러운 변화나 신호가 지금 당신의 주의를 필요로 하나요?",""
"emotions.surprise-1-startled.overloadRisk","If you over-use this feeling, you may remain jumpy or hyper-alert, treating everything as an emergency.","이 느낌을 과도하게 사용하면 초조하거나 과도하게 경계하며, 모든 것을 비상사태로 취급할 수 있습니다.",""
"emotions.surprise-1-startled.overloadTip","To balance, pause to look, breathe, and check what is actually happening now versus what you feared might be happening.","균형을 위해, 잠시 멈추어 보고, 숨을 쉬고, 두려워했던 것과 실제로 지금 일어나고 있는 것을 구분하세요.",""
"emotions.surprise-1-startled.adaptivePurpose","Signals that something unexpected just happened and your attention needs to orient quickly.","예상치 못한 일이 방금 발생했으며 주의를 빠르게 전환해야 한다는 신호입니다.",""
"emotions.surprise-1-startled.relatedFeelings","Appalled, Shocked, Stunned","경악한, 충격받은, 멍한","Comma-separated list of related feelings"
"emotions.surprise-1-startled.borderInfo","Startled is near Fear because it involves a sudden sense of threat or danger.","깜짝 놀란 느낌은 갑작스러운 위협이나 위험의 감각을 포함하므로 두려움 영역에 가깝습니다.",""
"emotions.surprise-1-startled.story","Walking home through the quiet park, headphones in, Priya was lost in a podcast when something burst from the bushes beside her. She jumped back, heart racing, hands up defensively—only to watch a squirrel scamper across the path. She laughed shakily, feeling foolish, but her pulse took several minutes to return to normal.","조용한 공원을 지나 집으로 걸어가며 이어폰을 꽂고 팟캐스트에 빠져 있던 프리야 옆 덤불에서 무언가가 튀어나왔습니다. 심장이 뛰며 뒤로 물러서고, 방어적으로 손을 들어올렸는데 -- 다람쥐가 길을 가로질러 달려가는 것이었습니다. 그녀는 바보 같은 기분으로 떨리는 웃음을 터뜨렸지만, 맥박이 정상으로 돌아오기까지 몇 분이 걸렸습니다.",""
"emotions.surprise-2-confused.name","Confused","혼란스러운","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.surprise-2-confused.category","Surprise","놀라움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-2-confused.description","A state of being bewildered or unclear about something. Confusion occurs when information doesn't match your expectations or understanding.","무언가에 대해 당혹하거나 명확하지 않은 상태입니다. 혼란은 정보가 기대나 이해와 맞지 않을 때 발생합니다.",""
"emotions.surprise-2-confused.question","What information is missing or unclear? What would help you make sense of this?","어떤 정보가 빠져 있거나 불명확한가요? 이것을 이해하는 데 무엇이 도움이 될까요?",""
"emotions.surprise-2-confused.overloadRisk","If you over-use this feeling, you may get stuck in doubt, delay decisions, or question everything about yourself and others.","이 느낌을 과도하게 사용하면 의심에 갇히거나 결정을 미루거나 자신과 다른 사람에 대해 모든 것을 의문시할 수 있습니다.",""
"emotions.surprise-2-confused.overloadTip","To balance, turn confusion into a question: define one thing you want to understand and seek an answer, experiment, or conversation.","균형을 위해, 혼란을 질문으로 바꾸세요: 이해하고 싶은 한 가지를 정의하고 답변, 실험 또는 대화를 찾으세요.",""
"emotions.surprise-2-confused.adaptivePurpose","Signals that your current understanding does not fit the facts and you may need new information or perspective.","현재의 이해가 사실과 맞지 않으며 새로운 정보나 관점이 필요할 수 있다는 신호입니다.",""
"emotions.surprise-2-confused.relatedFeelings","Disillusioned, Perplexed, Bewildered","환멸감을 느끼는, 당혹한, 어리둥절한","Comma-separated list of related feelings"
"emotions.surprise-2-confused.story","The email made no sense. After five years of stellar reviews, Daniel was being ""transitioned to a new role""—effective immediately. His boss wouldn't return calls. HR spoke in careful non-answers. He sat at his desk, reading the same sentences over and over, trying to fit the pieces together. What had happened? What had he missed?","이메일은 이해가 되지 않았습니다. 5년간의 뛰어난 평가 후에 대니엘은 즉시 '새로운 역할로 전환'되었습니다. 상사는 전화를 받지 않았습니다. 인사부는 조심스러운 비답변만 했습니다. 그는 책상에 앉아 같은 문장을 계속 읽으며 조각을 맞추려 했습니다. 무슨 일이 일어났을까? 무엇을 놓쳤을까?",""
"emotions.surprise-2-confused.borderInfo","Confused is Surprise meeting uncertainty—your mental map doesn't fit reality. It sits between Startled (physical surprise) and Amazed (positive surprise).","“혼란스러운” 느낌은 놀라움이 불확실성을 만나는 것—당신의 인지 지도가 현실과 맞지 않는 상태입니다. “깜짝 놀란”(신체적 놀라움)과 “경탄하는”(긍정적 놀라움) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.surprise-3-amazed.name","Amazed","경탄하는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.surprise-3-amazed.category","Surprise","놀라움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-3-amazed.description","A feeling of great wonder and astonishment. Amazement is a positive form of surprise that fills you with awe.","큰 경이와 놀라움의 느낌입니다. 경탄은 경외감으로 가득 채우는 긍정적인 형태의 놀라움입니다.",""
"emotions.surprise-3-amazed.question","What exceeded your expectations? What possibility does this open?","무엇이 기대를 초과했나요? 이것이 어떤 가능성을 열어주나요?",""
"emotions.surprise-3-amazed.overloadRisk","If you over-use this feeling, you may idealize people or situations and miss real limits or risks.","이 느낌을 과도하게 사용하면 사람이나 상황을 이상화하고 실질적인 한계나 위험을 놓칠 수 있습니다.",""
"emotions.surprise-3-amazed.overloadTip","To balance, name what delights you and also one practical step or boundary that keeps you grounded while you explore this new possibility.","균형을 위해, 무엇이 기쁨을 주는지를 말하고, 이 새로운 가능성을 탐색하면서 현실에 발을 딛게 해줄 실용적인 단계나 경계 하나도 말해 보세요.",""
"emotions.surprise-3-amazed.adaptivePurpose","Signals that something is far better, bigger, or more beautiful than you expected and your sense of possibility is expanding.","무언가가 예상보다 훨씬 좋거나, 크거나, 아름다워서 가능성의 감각이 확장되고 있다는 신호입니다.",""
"emotions.surprise-3-amazed.relatedFeelings","Astonished, Awed, Impressed","놀라운, 경외감을 느끼는, 감명받은","Comma-separated list of related feelings"
"emotions.surprise-3-amazed.story","Standing at the rim of the Grand Canyon for the first time, words failed her. Photographs hadn't prepared Jennifer for this—the impossible scale, the layers of color, the silence broken only by wind. She'd seen beautiful places before, but this was different. This made her feel small in a way that was somehow comforting, connected to something vast and ancient.","처음으로 그랜드 캐니언 가장자리에 서서 제니퍼는 말을 잃었습니다. 사진으로는 이것에 대비할 수 없었습니다 -- 불가능한 규모, 색상의 층, 바람에 의해서만 깨지는 침묵. 아름다운 곳을 전에도 봤지만, 이것은 달랐습니다. 이것은 그녀를 어딘가 편안한 방식으로 작게 느끼게 했고, 광대하고 오래된 무언가와 연결된 느낌이 들었습니다.",""
"emotions.surprise-3-amazed.borderInfo","Amazed is the positive heart of Surprise—wonder at something exceeding expectations. It sits between Confused (neutral surprise) and Disappointed (negative surprise).","“경탄하는” 느낌은 놀라움의 긍정적 핵심—기대를 초월하는 것에 대한 경이입니다. “혼란스러운”(중립적 놀라움)과 “실망한”(부정적 놀라움) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.surprise-4-disappointed.name","Disappointed","실망한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.surprise-4-disappointed.category","Surprise","놀라움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Surprise emotions must use identical category string."
"emotions.surprise-4-disappointed.description","A feeling of sadness or displeasure when expectations are not met. Disappointment signals a gap between what you hoped for and reality.","기대가 충족되지 않았을 때의 슬픔이나 불쾌함의 느낌입니다. 실망은 희망했던 것과 현실 사이의 간극을 나타냅니다.",""
"emotions.surprise-4-disappointed.question","What expectation wasn't met? What matters to you about this outcome?","어떤 기대가 충족되지 않았나요? 이 결과에서 무엇이 당신에게 중요한가요?",""
"emotions.surprise-4-disappointed.overloadRisk","If you over-use this feeling, you may slide into cynicism, giving up on future efforts or relationships.","이 느낌을 과도하게 사용하면 냉소주의에 빠져 미래의 노력이나 관계를 포기할 수 있습니다.",""
"emotions.surprise-4-disappointed.overloadTip","To balance, name the expectation clearly, then decide whether to revise the goal, your strategy, or the timeline—and choose one next action.","균형을 위해, 기대를 명확하게 말한 다음, 목표를 수정할지, 전략을 바꿀지, 일정을 조정할지 결정하고 다음 행동 하나를 선택하세요.",""
"emotions.surprise-4-disappointed.adaptivePurpose","Signals that reality did not match your hopes and something you cared about feels diminished or lost.","현실이 희망과 일치하지 않았고 소중히 여기던 무언가가 줄어들거나 상실된 것 같다는 신호입니다.",""
"emotions.surprise-4-disappointed.relatedFeelings","Betrayed, Dismayed, Let down","배신감을 느끼는, 낙담한, 기대에 어긋난","Comma-separated list of related feelings"
"emotions.surprise-4-disappointed.borderInfo","Disappointed is near Sadness because it involves loss of hope and unmet expectations.","실망한 느낌은 희망의 상실과 충족되지 않은 기대를 포함하므로 슬픔 영역에 가깝습니다.",""
"emotions.surprise-4-disappointed.story","""We've decided to go in a different direction."" The words hung in the air of the gallery. Chloe had spent eight months on this commission, pouring her vision into every brushstroke. The client had seemed so enthusiastic in their meetings. Now they wanted ""something more conventional."" She smiled professionally, shook hands, and waited until she reached her car to let the tears fall.","'저희는 다른 방향으로 가기로 했습니다.' 그 말이 갤러리의 공기 속에 맴돌았습니다. 클로이는 8개월 동안 이 의뢰에 자신의 비전을 모든 붓질에 쏟아부었습니다. 고객은 미팅에서 매우 열정적이었습니다. 이제 그들은 '좀 더 전통적인 것'을 원했습니다. 그녀는 전문적으로 미소 짓고 악수를 한 뒤, 차에 도착할 때까지 눈물이 흐르는 것을 참았습니다.",""
"emotions.sad-1-hurt.name","Hurt","상처받은","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.sad-1-hurt.category","Sadness","슬픔","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-1-hurt.description","Emotional pain caused by something or someone. Hurt feelings often arise from perceived rejection, criticism, or loss.","무언가 또는 누군가에 의한 감정적 고통입니다. 상처받은 감정은 종종 거부, 비판 또는 상실에서 비롯됩니다.",""
"emotions.sad-1-hurt.question","What value or relationship was impacted? What healing or repair would help?","어떤 가치나 관계가 영향을 받았나요? 어떤 치유나 회복이 도움이 될까요?",""
"emotions.sad-1-hurt.overloadRisk","If you over-use this feeling, you may hold onto grudges, assume bad intentions, or close yourself off from repair.","이 느낌을 과도하게 사용하면 원한을 품거나, 나쁜 의도를 가정하거나, 회복의 기회를 차단할 수 있습니다.",""
"emotions.sad-1-hurt.overloadTip","To balance, acknowledge the pain and why it matters, then consider whether and how you want to communicate it or seek healing support.","균형을 위해, 고통과 그것이 중요한 이유를 인정한 다음, 그것을 전달하거나 치유의 지원을 받고 싶은지 고려하세요.",""
"emotions.sad-1-hurt.adaptivePurpose","Signals that something or someone important has wounded your sense of safety, worth, or connection.","중요한 무언가 또는 누군가가 안전감, 자기 가치 또는 연결의 감각을 다치게 했다는 신호입니다.",""
"emotions.sad-1-hurt.relatedFeelings","Dismayed, Threatened, Wounded","낙담한, 위협받는, 상처 입은","Comma-separated list of related feelings"
"emotions.sad-1-hurt.borderInfo","Hurt is near Surprise because it often comes from unexpected emotional wounds.","상처받은 느낌은 종종 예상치 못한 감정적 상처에서 오기 때문에 놀라움 영역에 가깝습니다.",""
"emotions.sad-1-hurt.story","""I just don't think you're leadership material."" The words from his mentor—someone he'd trusted for years—landed like a punch. Robert had shared his dreams of running his own department someday, made himself vulnerable. Now that vulnerability felt like a mistake. The criticism might have been constructive, but wrapped in that dismissive phrase, it just felt like betrayal.","'당신은 리더 자질이 없다고 봅니다.' 수년간 신뢰했던 멘토의 말은 주먹처럼 다가왔습니다. 로버트는 언젠가 자기 부서를 이끄는 꿈을 나누며 자신을 취약하게 내보였습니다. 이제 그 취약함이 실수처럼 느껴졌습니다. 비판은 건설적이었을 수도 있지만, 그 무시하는 듯한 표현에 싸여서 배신처럼 느껴질 뿐이었습니다.",""
"emotions.sad-2-depressed.name","Depressed","우울한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.sad-2-depressed.category","Sadness","슬픔","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-2-depressed.description","A state of deep sadness and low energy. Depression can make everything feel heavy and difficult to manage.","깊은 슬픔과 낮은 에너지의 상태입니다. 우울은 모든 것을 무겁고 감당하기 어렵게 느끼게 할 수 있습니다.",""
"emotions.sad-2-depressed.question","What feels depleted or hopeless? What small source of care, support, or meaning can you reconnect with?","무엇이 고갈되거나 절망적으로 느껴지나요? 다시 연결할 수 있는 작은 배려, 지원 또는 의미의 원천은 무엇인가요?",""
"emotions.sad-2-depressed.overloadRisk","If you over-use this feeling, you may stop seeing any possibility, withdraw completely, or neglect basic self-care.","이 느낌을 과도하게 사용하면 어떤 가능성도 보지 못하고, 완전히 물러나거나, 기본적인 자기 관리를 소홀히 할 수 있습니다.",""
"emotions.sad-2-depressed.overloadTip","To balance, choose one tiny, compassionate action—such as reaching out, moving your body, or doing one simple task—that adds a bit of structure or support.","균형을 위해, 한 가지 작고 자비로운 행동을 선택하세요 -- 누군가에게 연락하거나, 몸을 움직이거나, 간단한 일 하나를 하는 것 -- 약간의 구조나 지원을 더해주는 것입니다.",""
"emotions.sad-2-depressed.adaptivePurpose","Signals that your energy, motivation, or sense of meaning has dropped and you may need rest, support, or reorientation.","에너지, 동기 또는 의미감이 떨어졌으며 휴식, 지원 또는 재정립이 필요할 수 있다는 신호입니다.",""
"emotions.sad-2-depressed.relatedFeelings","Bereft, Numb, Empty","빈곤한, 무감각한, 공허한","Comma-separated list of related feelings"
"emotions.sad-2-depressed.story","Getting out of bed had become the hardest part. Emma would lie there, knowing she had things to do, people counting on her, and feel nothing—just a heavy emptiness that made even showering feel like climbing a mountain. Colors seemed muted. Food had no taste. She went through the motions of her life while feeling like she was watching it from far away.","침대에서 일어나는 것이 가장 힘든 부분이 되었습니다. 엠마는 해야 할 일이 있고, 자신에게 의지하는 사람들이 있다는 것을 알면서도 누워서 아무것도 느끼지 못했습니다 -- 샤워조차 산을 오르는 것처럼 느껴지게 하는 무거운 공허함뿐이었습니다. 색상은 흐릿해졌습니다. 음식에는 맛이 없었습니다. 그녀는 멀리서 자기 삶을 바라보는 것 같은 느낌으로 일상을 보냈습니다.",""
"emotions.sad-2-depressed.borderInfo","Depressed is deep Sadness—energy and hope depleted. It sits between Hurt (acute pain) and Lonely (disconnection from others).","“우울한” 느낌은 깊은 슬픔—에너지와 희망이 고갈된 상태입니다. “상처받은”(날카로운 고통)과 “외로운”(타인과의 단절) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.sad-3-lonely.name","Lonely","외로운","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.sad-3-lonely.category","Sadness","슬픔","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-3-lonely.description","A painful feeling of isolation or disconnection from others. Loneliness highlights our need for meaningful connection.","다른 사람과의 고립이나 단절에 대한 고통스러운 느낌입니다. 외로움은 의미 있는 연결에 대한 우리의 필요를 부각시킵니다.",""
"emotions.sad-3-lonely.question","What connection do you need right now? Who could help you feel more seen or supported?","지금 어떤 연결이 필요한가요? 누가 당신을 더 보이게 하거나 지지해 줄 수 있을까요?",""
"emotions.sad-3-lonely.overloadRisk","If you over-use this feeling, you may believe you are fundamentally alone or unlovable and pull back even more.","이 느낌을 과도하게 사용하면 근본적으로 혼자이거나 사랑받을 수 없다고 믿고 더 물러날 수 있습니다.",""
"emotions.sad-3-lonely.overloadTip","To balance, identify one small, safe way to reach toward connection—a message, a call, a shared space, or naming your need to someone you trust.","균형을 위해, 연결을 향한 작고 안전한 방법 하나를 찾으세요 -- 메시지, 전화, 함께하는 공간, 또는 신뢰하는 사람에게 당신의 필요를 말하는 것입니다.",""
"emotions.sad-3-lonely.adaptivePurpose","Signals that your need for connection, belonging, or being seen is not being met.","연결, 소속감 또는 보여지는 것에 대한 필요가 충족되지 않고 있다는 신호입니다.",""
"emotions.sad-3-lonely.relatedFeelings","Abandoned, Isolated, Disconnected","버려진, 고립된, 단절된","Comma-separated list of related feelings"
"emotions.sad-3-lonely.story","The apartment was full of boxes from the move. New city, new job, fresh start—everything she'd wanted. But sitting on her bare mattress that first night, phone full of contacts yet no one to call, Yuki felt the weight of her aloneness. She could hear her neighbors through the walls, living their lives, and the sounds only made the silence in her own space louder.","아파트는 이사 상자로 가득 차 있었습니다. 새 도시, 새 직장, 새로운 출발 -- 원했던 모든 것이었습니다. 하지만 첫날 밤 맨 매트리스에 앉아 연락처는 가득하지만 전화할 사람은 아무도 없는 상태에서, 유키는 자신의 외로움의 무게를 느꼈습니다. 벽 너머로 이웃들이 그들의 삶을 사는 소리가 들렸고, 그 소리는 자기 공간의 침묵을 더 크게 만들 뿐이었습니다.",""
"emotions.sad-3-lonely.borderInfo","Lonely is Sadness about connection—the pain of feeling unseen or apart. It sits between Depressed (inner emptiness) and Ashamed (self-judgment).","“외로운” 느낌은 연결에 대한 슬픔—보이지 않거나 떨어져 있다는 고통입니다. “우울한”(내면의 공허)과 “부끄러운”(자기 판단) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.sad-4-ashamed.name","Ashamed","부끄러운","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.sad-4-ashamed.category","Sadness","슬픔","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Sadness emotions must use identical category string."
"emotions.sad-4-ashamed.description","A painful feeling of humiliation or distress caused by believing you've done something wrong or embarrassing. Shame affects how you see yourself.","잘못하거나 창피한 일을 했다는 믿음에 의한 굴욕이나 고통의 고통스러운 느낌입니다. 수치심은 자신을 바라보는 방식에 영향을 미칩니다.",""
"emotions.sad-4-ashamed.question","What standard are you holding yourself to? What self-compassion or repair would support growth?","어떤 기준으로 자신을 평가하고 있나요? 성장을 위해 어떤 자기 연민이나 회복이 도움이 될까요?",""
"emotions.sad-4-ashamed.overloadRisk","If you over-use this feeling, you may turn a specific mistake into a belief that you are bad or unworthy and hide your true self.","이 느낌을 과도하게 사용하면 특정한 실수를 자신이 나쁘거나 가치 없다는 믿음으로 바꾸고 진짜 자신을 숨길 수 있습니다.",""
"emotions.sad-4-ashamed.overloadTip","To balance, separate 'I did something' from 'I am something,' and choose one step of learning, repair, or apology that aligns with your values.","균형을 위해, '내가 무언가를 했다'와 '나는 무언가이다'를 분리하고, 가치관에 맞는 배움, 회복 또는 사과의 한 걸음을 선택하세요.",""
"emotions.sad-4-ashamed.adaptivePurpose","Signals that your behavior or choices may not match your values and invites reflection, repair, and growth.","행동이나 선택이 가치관과 맞지 않을 수 있으며 성찰, 회복 및 성장을 위한 초대라는 신호입니다.",""
"emotions.sad-4-ashamed.relatedFeelings","Remorseful, Guilty, Embarrassed","후회하는, 죄책감을 느끼는, 당혹한","Comma-separated list of related feelings"
"emotions.sad-4-ashamed.borderInfo","Ashamed is near Disgust because it involves negative judgment of oneself.","부끄러운 느낌은 자기 자신에 대한 부정적 판단을 포함하므로 혐오 영역에 가깝습니다.",""
"emotions.sad-4-ashamed.story","It was just a shortcut, he'd told himself. A few copied paragraphs in a paper no one would read closely anyway. But when the professor called him into her office, evidence spread across her desk, Michael couldn't meet her eyes. The disappointment in her voice was worse than anger would have been. He'd betrayed not just academic rules, but his own sense of who he was.","그저 지름길이라고 스스로에게 말했습니다. 어차피 아무도 꼼꼼히 읽지 않을 리포트에 몇 단락을 복사한 것뿐이었습니다. 하지만 교수가 사무실로 부르고 증거를 책상 위에 펼쳐 놓았을 때 마이클은 눈을 마주칠 수 없었습니다. 그녀의 목소리에 담긴 실망은 분노보다 더 나빴습니다. 그는 학문적 규칙만이 아니라 자기 자신이 누구인지에 대한 감각을 배반한 것이었습니다.",""
"emotions.disgust-1-dislike.name","Dislike","싫어하는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.disgust-1-dislike.category","Disgust","혐오","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-1-dislike.description","A feeling of aversion or disapproval toward something or someone. Dislike helps you identify what doesn't align with your values.","무언가 또는 누군가에 대한 혐오나 불쾌함의 느낌입니다. 싫어함은 자신의 가치관과 맞지 않는 것을 식별하는 데 도움을 줍니다.",""
"emotions.disgust-1-dislike.question","What feels misaligned with your values or preferences? What boundary or choice does this reveal?","무엇이 가치관이나 선호와 맞지 않는다고 느껴지나요? 이것이 어떤 경계나 선택을 드러내나요?",""
"emotions.disgust-1-dislike.overloadRisk","If you over-use this feeling, you may slide into harsh judgment, bias, or rejection of people or ideas too quickly.","이 느낌을 과도하게 사용하면 가혹한 판단, 편견, 사람이나 아이디어를 너무 빨리 거부하는 것으로 이어질 수 있습니다.",""
